previous_tone,this_tone
empty,2
2,3
5,1
1,4
empty,2
empty,3
5,1
1,1
1,4
5r,4
empty,2
2,3
5,1
1,4
4,4
4,2
2,4
4,1
1,4
4,2
2,2
2,3
empty,3
3,4
4,3
5,3
3,1
empty,3
empty,2
empty,2
2,3
5,3
3,1
empty,3
empty,2
2,3
5,2
2,1
1,1
empty,2
2,3
5,2
2,3
3,4
4,2
empty,2
2,3
empty,1
1,2
2,4
empty,4
4,4
empty,2
2,3
5,1
1,4
empty,3
3,2
empty,3
3,4
4,3
5,2
2,4
empty,3
3,4
4,3
5,4
4,4
empty,2
2,2
empty,2
2,3
5,4
empty,1
1,4
empty,4
4,1
1,2
empty,3
empty,4
4,3
5,1
1,4
4,3
empty,2
empty,3
3,4
4,3
5,1
1,3
5,3
empty,1
empty,3
3,4
4,3
5,2
2,1
empty,4
empty,2
2,3
5,4
4,1
1,2
2,4
4,2
2,4
5r,2
empty,3
empty,3
3,4
empty,3
empty,4
empty,1
empty,1
empty,4
4,3
3,4
empty,3
5,4