tone,1st,2nd,3rd,duration,1st_norm,2nd_norm,3rd_norm,slope,height,strength,prev_tone,duration_raw,sort
1,2.654988841,-20.03254962,58.59480847,259.090909,46.17630991,-134.4746976,151.8138219,-75,6.654925916,13,empty,276.6439109,2
4,-88.7068951,397.2389782,-351.7729556,245.454545,-1311.809021,2393.282761,-863.4427075,19,-5.230595051,60,empty,263.8094586,4
2,14.92070342,-31.07810377,41.15902395,218.181819,154.9690506,-147.9420488,89.80150714,19,-0.283333699,34,empty,247.760214,6
2,5.089958311,-9.543739702,1.409314383,313.636363,157.0339129,-93.87963747,4.420122376,41,1.122114544,30,empty,367.126471,8
4,55.61132396,-193.1868355,96.21200108,231.818182,692.7965583,-1038.179669,223.0369118,-13,-7.407923401,22,empty,234.7202027,11
1,-15.86422016,44.18111218,27.57237823,272.727273,-321.8136331,328.6198433,75.19739525,-2,0.704205673,35,4,280.8617811,12
2,8.078968373,7.339829691,-35.68373179,231.818182,100.6464347,39.44400218,-82.72137831,79,-0.415660665,17,empty,324.9972038,14
3,128.8954823,-264.2494443,-17.44251378,177.272727,718.0645263,-830.4202553,-30.92081983,79,-4.386363726,36,2,186.5724688,16
4,22.99529079,-101.5871768,63.198083,327.272727,806.0618214,-1088.074222,206.8300896,19,-7.480712289,17,3,343.052604,18
4,27.66653188,-118.6785508,69.98891092,245.454546,409.1362514,-715.0137512,171.7909635,-55,-6.265623696,80,empty,251.7112897,20
2,1.615816398,6.231198726,-11.0641168,300,43.62704276,56.08078853,-33.1923504,36,-1.342289656,30,empty,300.4410308,22
4,26.53521552,-92.88550757,22.48442508,218.181818,275.5994128,-442.1657213,49.0569274,-10,-13.64422183,9,empty,234.1738065,24
1,5.575064409,-19.8680959,22.46216347,245.454545,82.44477246,-119.7011724,55.13440114,-1,0.601036267,40,empty,274.3589682,26
1,-19.24172516,67.17890471,-62.74015321,150,-64.94082241,151.1525356,-94.11022982,-1,2.250819807,80,empty,161.7234281,28
4,-20.08685289,19.86214974,-88.74140432,122.727272,-37.13087137,29.91633675,-108.9099047,39,-2.470001197,29,empty,132.3191684,30
1,-1.927088102,0.004255035,-4.249109035,218.18182,-20.01507632,0.020255371,-9.270783427,-21,0.870218978,40,empty,231.4203932,32
2,-221.4537096,502.0090706,-378.1583172,81.81818,-121.2920688,336.0556439,-309.4022527,99,-9.509632386,70,1,87.52863009,34
3,-12.77332308,25.95019159,124.4062321,477.27273,-1388.685048,591.1174909,593.7570203,56,-19.84551432,9,empty,535.7813114,36
4,39.09109139,-136.2824156,27.42800758,272.72727,792.9822959,-1013.67084,74.80365628,-12,-1.986722487,80,empty,285.1311435,38
1,1.476178889,-5.73417275,-0.718065945,381.81818,82.16915099,-83.59570772,-2.741706322,17,-1.137502519,7,empty,405.6434262,40
1,0.244973842,6.034841917,-31.51793118,340.90909,9.705892054,70.13633389,-107.4474924,2,-0.166584756,20,empty,349.4095045,42
2,-2.872901146,16.86508729,-27.99520982,272.72728,-58.27823978,125.4428047,-76.35057426,22,-3.762151946,50,empty,274.2949009,44
1,2.341569252,-12.132704,12.469746,354.54545,104.3572811,-152.5110935,44.21091705,-13,-0.820065836,30,empty,367.9771593,46
2,0.459712778,17.34394157,-53.86123222,368.18182,22.94423575,235.1107474,-198.3072651,35,-0.060818605,38,empty,400.8925474,48
1,1.420912321,0.742669691,-15.80965461,313.63636,43.83757226,7.305475858,-49.58482524,7,0.503099292,15,empty,329.9978653,50
2,-1.006854718,19.32193877,-44.27516412,300,-27.1850774,173.8974489,-132.8254924,14,-4.80637528,60,empty,305.5223203,52
2,3.060563873,-2.305936314,-11.42813329,381.81818,170.3614222,-33.61712081,-43.63469054,34,-0.165581288,30,empty,416.9282493,54
3,4.822332226,-16.84546852,-81.08441162,218.18182,50.08559155,-80.19000025,-176.911445,50,-0.218026128,22,empty,224.8696927,56
4,288.3140515,-642.4078538,287.1634006,190.9091,2006.068228,-2341.337938,548.2210635,59,-13.90231822,16,empty,201.5664668,58
3,-122.9764957,549.3058754,-490.6899778,177.27273,-685.0904477,1726.227814,-869.8595195,19,2.118463841,18,empty,244.5588214,60
4,52.01478674,-143.0515385,-1.037610991,190.90909,361.9150512,-521.3696519,-1.980893701,14,-0.297474475,28,empty,199.8545207,62
3,273.5359357,-467.0378655,82.81017257,190.90909,1903.242873,-1702.179312,158.0921469,98,-6.455469173,35,empty,191.9655264,64
1,-2.882763547,16.032052,-23.61142156,245.45454,-42.63067702,96.58979662,-57.95530617,-4,-1.50712164,80,empty,270.8554688,66
3,0.181217629,414.882574,-803.0677562,204.54545,1.550850424,1735.82061,-1642.638556,43,-3.445721871,59,empty,215.6325092,68
1,6.518161568,-20.34332098,16.17876535,272.72727,132.2241601,-151.3139547,44.12390505,-1,-0.737860228,80,empty,278.7444631,70
3,-72.69157363,217.2178553,-245.1793714,190.90909,-505.7826099,791.6782916,-468.0697069,16,-8.44636307,63,empty,197.2248559,72
2,3.950600949,-2.038383203,-18.15992099,340.90909,156.5232684,-23.6898873,-61.9088214,75,-2.071367934,17,empty,368.1530644,74
3,-194.7994123,796.6937239,-1031.463456,204.54545,-1667.082575,3333.274213,-2109.811567,13,-8.843587429,43,empty,210.3731797,76
2,1.775538411,8.85186826,-24.12552889,313.63636,54.77839291,87.07385085,-75.66643064,82,-1.312185177,19,empty,338.5467999,78
4,31.37993821,-118.4063778,47.03944341,218.18182,325.9175632,-563.6535101,102.6315138,-55,-4.574796452,80,empty,223.5215034,80
3,39.9175532,-133.5704613,37.47138708,259.09091,694.257279,-896.6331235,97.08495778,-1,-22.17958609,16,4,299.2513217,82
4,23.43052799,-98.51688837,61.35529956,190.90909,163.0278862,-359.0574162,117.1328441,-61,-3.663052076,80,empty,202.4841854,84
3,95.86698796,-590.5490571,918.4800068,354.54545,4272.527152,-7423.347874,3256.429073,99,-4.826738958,21,empty,376.0420587,86
3,306.0622705,-361.9308643,-33.89042922,163.63636,1341.063142,-969.1371473,-55.45706477,78,-7.661794953,32,empty,178.8172027,88
4,27.7304206,-100.4337805,-8.173767581,286.36364,651.1935335,-823.5985225,-23.40669837,-47,-9.028915418,80,empty,320.819099,90
3,-18.62630073,97.16126719,-179.7514318,190.90909,-129.6004272,354.1166812,-343.1618227,39,-8.284597983,32,empty,218.2621739,92
4,97.6710909,-432.6620121,491.9564033,313.63636,3013.319993,-4255.99957,1542.954156,-52,-9.223158313,80,empty,336.5970875,94
3,-61.93316435,122.501854,-129.5540129,177.27273,-345.0238116,384.969681,-229.6639355,99,-5.422177644,38,empty,184.8225063,96
4,29.24284896,-93.52281992,-38.09638614,231.81818,364.3025043,-502.5885347,-88.314349,-77,-11.56912789,80,empty,240.8293264,98
3,26.046058,-29.22600754,-60.93347416,163.63637,114.1251901,-78.25807587,-99.70932524,99,-7.133349922,33,empty,176.4214833,100
4,-12.45368752,13.25430784,-84.24384854,231.81819,-155.145969,71.22821718,-195.2925649,79,-13.80071677,13,empty,277.2337594,102
4,40.67229601,-100.2986569,-30.92176844,204.54546,348.0713064,-419.6379982,-63.2490735,59,-12.306481,14,empty,207.2252333,104
4,65.47103563,-221.0196408,62.35941218,231.81818,815.6271735,-1187.752224,144.5604544,-96,-17.66042972,80,empty,243.6296662,106
4,55.18951193,-96.64767335,-51.35575959,150,186.2646028,-217.457265,-77.03363939,-40,-3.698111585,80,empty,156.8190955,108
4,69.48023231,39.33418112,-211.0937404,204.54545,594.6079777,164.5696554,-431.7826412,-19,-1.593498987,80,empty,235.2286433,110